year,per_capita_personal_income,state
2020,61530,ND
2020,53641,OH
2020,49878,OK
2020,56312,OR
2020,61700,PA
2020,60825,RI
2020,48021,SC
2020,59281,SD
2020,51046,TN
2020,55129,TX
2020,52204,UT
2020,59187,VT
2020,61958,VA
2020,67126,WA
2020,44994,WV
2020,55593,WI
2020,61855,WY
2020,73179,
2020,69791,
2020,56052,
2020,56466,
2020,52096,
2020,53261,
2020,57606,
2020,67447,
