state,poverty_rate,year
MA,0.10099999999999999,2005
MI,0.12,2005
MN,0.081,2005
MS,0.201,2005
MO,0.11599999999999999,2005
MT,0.138,2005
NE,0.095,2005
NV,0.106,2005
NH,0.055999999999999994,2005
NJ,0.068,2005
NM,0.179,2005
NY,0.145,2005
NC,0.131,2005
ND,0.11199999999999999,2005
OH,0.12300000000000001,2005
OK,0.156,2005
OR,0.12,2005
PA,0.11199999999999999,2005
RI,0.121,2005
SC,0.15,2005
SD,0.11800000000000001,2005
TN,0.149,2005
TX,0.162,2005
UT,0.092,2005
VT,0.076,2005
VA,0.092,2005
WA,0.102,2005
WV,0.154,2005
WI,0.102,2005
WY,0.106,2005
AL,0.16899999999999998,2004
AK,0.091,2004
AZ,0.14400000000000002,2004
AR,0.151,2004
CA,0.132,2004
CO,0.1,2004
CT,0.10099999999999999,2004
DE,0.09,2004
DC,0.17,2004
FL,0.11599999999999999,2004
GA,0.13,2004
HI,0.086,2004
ID,0.099,2004
IL,0.12300000000000001,2004
IN,0.11599999999999999,2004
IA,0.109,2004
KS,0.114,2004
KY,0.17800000000000002,2004
LA,0.168,2004
ME,0.11599999999999999,2004
MD,0.099,2004
MA,0.09300000000000001,2004
MI,0.133,2004
MN,0.07,2004
MS,0.187,2004
MO,0.122,2004
MT,0.142,2004
NE,0.095,2004
NV,0.109,2004
NH,0.055,2004
NJ,0.08,2004
NM,0.165,2004
NY,0.15,2004
NC,0.146,2004
ND,0.09699999999999999,2004
OH,0.11599999999999999,2004
OK,0.10800000000000001,2004
OR,0.11800000000000001,2004
PA,0.114,2004
RI,0.115,2004
SC,0.149,2004
SD,0.135,2004
TN,0.159,2004
TX,0.165,2004
UT,0.10099999999999999,2004
VT,0.078,2004
VA,0.094,2004
WA,0.114,2004
WV,0.142,2004
WI,0.124,2004
WY,0.1,2004
AL,0.15,2003
AK,0.096,2003
AZ,0.135,2003
AR,0.17800000000000002,2003
CA,0.131,2003
CO,0.09699999999999999,2003
CT,0.081,2003
DE,0.073,2003
DC,0.168,2003
FL,0.127,2003
GA,0.11900000000000001,2003
HI,0.09300000000000001,2003
ID,0.102,2003
IL,0.126,2003
IN,0.099,2003
IA,0.08900000000000001,2003
KS,0.10800000000000001,2003
KY,0.14400000000000002,2003
LA,0.17,2003
ME,0.11599999999999999,2003
MD,0.086,2003
MA,0.10300000000000001,2003
MI,0.114,2003
MN,0.07400000000000001,2003
MS,0.16,2003
MO,0.107,2003
MT,0.151,2003
NE,0.098,2003
NV,0.109,2003
NH,0.057999999999999996,2003
NJ,0.086,2003
NM,0.18100000000000002,2003
NY,0.14300000000000002,2003
NC,0.157,2003
ND,0.09699999999999999,2003
OH,0.109,2003
OK,0.128,2003
OR,0.125,2003
PA,0.105,2003
RI,0.115,2003
SC,0.127,2003
SD,0.127,2003
TN,0.14,2003
TX,0.17,2003
UT,0.091,2003
VT,0.085,2003
VA,0.1,2003
WA,0.126,2003
WV,0.174,2003
WI,0.098,2003
WY,0.098,2003
AL,0.145,2002
AK,0.08800000000000001,2002
AZ,0.135,2002
AR,0.198,2002
CA,0.131,2002
CO,0.098,2002
CT,0.083,2002
DE,0.091,2002
DC,0.17,2002
FL,0.126,2002
GA,0.11199999999999999,2002
HI,0.113,2002
ID,0.113,2002
IL,0.128,2002
IN,0.091,2002
IA,0.092,2002
KS,0.10099999999999999,2002
KY,0.142,2002
LA,0.175,2002
ME,0.134,2002
MD,0.07400000000000001,2002
MA,0.1,2002
MI,0.11599999999999999,2002
MN,0.065,2002
MS,0.184,2002
MO,0.099,2002
MT,0.135,2002
NE,0.106,2002
NV,0.08900000000000001,2002
NH,0.057999999999999996,2002
NJ,0.079,2002
NM,0.179,2002
NY,0.14,2002
NC,0.14300000000000002,2002
ND,0.11599999999999999,2002
OH,0.098,2002
OK,0.141,2002
OR,0.109,2002
PA,0.095,2002
RI,0.11,2002
SC,0.14300000000000002,2002
SD,0.115,2002
TN,0.14800000000000002,2002
TX,0.156,2002
UT,0.099,2002
VT,0.099,2002
VA,0.099,2002
WA,0.11,2002
WV,0.168,2002
WI,0.086,2002
WY,0.09,2002
AL,0.159,2001
AK,0.085,2001
AZ,0.146,2001
AR,0.17800000000000002,2001
CA,0.126,2001
CO,0.087,2001
CT,0.073,2001
DE,0.067,2001
DC,0.182,2001
FL,0.127,2001
GA,0.129,2001
HI,0.114,2001
ID,0.115,2001
IL,0.10099999999999999,2001
IN,0.085,2001
IA,0.07400000000000001,2001
KS,0.10099999999999999,2001
KY,0.126,2001
LA,0.162,2001
ME,0.10300000000000001,2001
MD,0.07200000000000001,2001
MA,0.08900000000000001,2001
MI,0.094,2001
MN,0.07400000000000001,2001
MS,0.193,2001
MO,0.09699999999999999,2001
MT,0.133,2001
NE,0.094,2001
NV,0.071,2001
NH,0.065,2001
NJ,0.081,2001
NM,0.18,2001
NY,0.142,2001
NC,0.125,2001
ND,0.138,2001
OH,0.105,2001
OK,0.151,2001
OR,0.11800000000000001,2001
PA,0.096,2001
RI,0.096,2001
SC,0.151,2001
SD,0.084,2001
TN,0.141,2001
TX,0.149,2001
UT,0.105,2001
VT,0.09699999999999999,2001
VA,0.08,2001
WA,0.107,2001
WV,0.16399999999999998,2001
WI,0.079,2001
WY,0.087,2001
AL,0.133,2000
AK,0.076,2000
AZ,0.11699999999999999,2000
AR,0.165,2000
CA,0.127,2000
CO,0.098,2000
CT,0.077,2000
DE,0.084,2000
DC,0.152,2000
FL,0.11,2000
GA,0.121,2000
HI,0.08900000000000001,2000
ID,0.125,2000
IL,0.107,2000
IN,0.085,2000
IA,0.083,2000
KS,0.08,2000
KY,0.126,2000
LA,0.172,2000
ME,0.10099999999999999,2000
MD,0.07400000000000001,2000
MA,0.098,2000
MI,0.099,2000
MN,0.057,2000
MS,0.149,2000
MO,0.092,2000
MT,0.141,2000
NE,0.086,2000
NV,0.08800000000000001,2000
NH,0.045,2000
NJ,0.073,2000
NM,0.175,2000
NY,0.139,2000
NC,0.125,2000
ND,0.10400000000000001,2000
OH,0.1,2000
OK,0.149,2000
OR,0.109,2000
PA,0.086,2000
RI,0.102,2000
SC,0.111,2000
SD,0.107,2000
TN,0.135,2000
TX,0.155,2000
UT,0.076,2000
VT,0.1,2000
VA,0.083,2000
WA,0.10800000000000001,2000
WV,0.147,2000
WI,0.09300000000000001,2000
WY,0.10800000000000001,2000
AL,0.152,1999
AK,0.076,1999
AZ,0.122,1999
AR,0.147,1999
CA,0.14,1999
CO,0.085,1999
CT,0.07200000000000001,1999
DE,0.10400000000000001,1999
DC,0.147,1999
FL,0.124,1999
GA,0.128,1999
HI,0.10800000000000001,1999
ID,0.141,1999
IL,0.099,1999
IN,0.067,1999
IA,0.07400000000000001,1999
KS,0.12300000000000001,1999
KY,0.121,1999
LA,0.192,1999
ME,0.106,1999
MD,0.073,1999
MA,0.11800000000000001,1999
MI,0.09699999999999999,1999
MN,0.073,1999
MS,0.162,1999
MO,0.11699999999999999,1999
MT,0.158,1999
NE,0.11,1999
NV,0.113,1999
NH,0.076,1999
NJ,0.078,1999
NM,0.209,1999
NY,0.142,1999
NC,0.138,1999
ND,0.131,1999
OH,0.12,1999
OK,0.128,1999
OR,0.126,1999
PA,0.09300000000000001,1999
RI,0.1,1999
SC,0.11699999999999999,1999
SD,0.077,1999
TN,0.11900000000000001,1999
TX,0.152,1999
UT,0.057,1999
VT,0.096,1999
VA,0.079,1999
WA,0.096,1999
WV,0.157,1999
WI,0.086,1999
WY,0.11599999999999999,1999
AL,0.145,1998
AK,0.094,1998
AZ,0.166,1998
AR,0.147,1998
CA,0.154,1998
CO,0.092,1998
CT,0.095,1998
DE,0.10300000000000001,1998
DC,0.223,1998
FL,0.131,1998
GA,0.135,1998
HI,0.109,1998
ID,0.13,1998
IL,0.10099999999999999,1998
IN,0.094,1998
IA,0.091,1998
KS,0.096,1998
KY,0.135,1998
LA,0.191,1998
ME,0.10400000000000001,1998
MD,0.07200000000000001,1998
MA,0.087,1998
MI,0.11,1998
MN,0.10300000000000001,1998
MS,0.17600000000000002,1998
MO,0.098,1998
MT,0.166,1998
NE,0.12300000000000001,1998
NV,0.106,1998
NH,0.098,1998
NJ,0.086,1998
NM,0.204,1998
NY,0.16699999999999998,1998
NC,0.14,1998
ND,0.151,1998
OH,0.11199999999999999,1998
