sa,naics_sector,series,geo,year,annual_total
A,Total for All NAICS,Business Applications from Corporations,IN,2021,6482.0
U,Total for All NAICS,Business Applications from Corporations,IA,2021,2066.0
A,Total for All NAICS,Business Applications from Corporations,IA,2021,2074.0
U,Total for All NAICS,Business Applications from Corporations,KS,2021,2161.0
A,Total for All NAICS,Business Applications from Corporations,KS,2021,2187.0
U,Total for All NAICS,Business Applications from Corporations,KY,2021,2793.0
A,Total for All NAICS,Business Applications from Corporations,KY,2021,2809.0
U,Total for All NAICS,Business Applications from Corporations,LA,2021,3345.0
A,Total for All NAICS,Business Applications from Corporations,LA,2021,3368.0
U,Total for All NAICS,Business Applications from Corporations,ME,2021,1157.0
A,Total for All NAICS,Business Applications from Corporations,ME,2021,1159.0
U,Total for All NAICS,Business Applications from Corporations,MD,2021,7601.0
A,Total for All NAICS,Business Applications from Corporations,MD,2021,7622.0
U,Total for All NAICS,Business Applications from Corporations,MA,2021,14925.0
A,Total for All NAICS,Business Applications from Corporations,MA,2021,15011.0
U,Total for All NAICS,Business Applications from Corporations,MI,2021,9560.0
A,Total for All NAICS,Business Applications from Corporations,MI,2021,9613.0
U,Total for All NAICS,Business Applications from Corporations,MN,2021,5986.0
A,Total for All NAICS,Business Applications from Corporations,MN,2021,5979.0
U,Total for All NAICS,Business Applications from Corporations,MS,2021,2191.0
A,Total for All NAICS,Business Applications from Corporations,MS,2021,2187.0
U,Total for All NAICS,Business Applications from Corporations,MO,2021,3906.0
A,Total for All NAICS,Business Applications from Corporations,MO,2021,3921.0
U,Total for All NAICS,Business Applications from Corporations,MT,2021,1595.0
A,Total for All NAICS,Business Applications from Corporations,MT,2021,1590.0
U,Total for All NAICS,Business Applications from Corporations,NE,2021,1217.0
A,Total for All NAICS,Business Applications from Corporations,NE,2021,1231.0
U,Total for All NAICS,Business Applications from Corporations,NV,2021,6156.0
A,Total for All NAICS,Business Applications from Corporations,NV,2021,6180.0
U,Total for All NAICS,Business Applications from Corporations,NH,2021,925.0
A,Total for All NAICS,Business Applications from Corporations,NH,2021,930.0
U,Total for All NAICS,Business Applications from Corporations,NJ,2021,13975.0
A,Total for All NAICS,Business Applications from Corporations,NJ,2021,14009.0
U,Total for All NAICS,Business Applications from Corporations,NM,2021,961.0
A,Total for All NAICS,Business Applications from Corporations,NM,2021,965.0
U,Total for All NAICS,Business Applications from Corporations,NY,2021,80273.0
A,Total for All NAICS,Business Applications from Corporations,NY,2021,80671.0
U,Total for All NAICS,Business Applications from Corporations,NC,2021,14137.0
A,Total for All NAICS,Business Applications from Corporations,NC,2021,14166.0
U,Total for All NAICS,Business Applications from Corporations,ND,2021,512.0
