state,start_year,per_pupil_revenue
AZ,1998,5988
AR,1998,5772
CA,1998,6750
CO,1998,6744
CT,1998,10294
DE,1998,8471
DC,1998,10580
FL,1998,7041
GA,1998,7324
HI,1998,7064
ID,1998,5806
IL,1998,7625
IN,1998,8069
IA,1998,7058
KS,1998,6950
KY,1998,6422
LA,1998,6111
ME,1998,8070
MD,1998,8086
MA,1998,8927
MI,1998,8533
MN,1998,7923
MS,1998,5065
MO,1998,6859
MT,1998,6546
NE,1998,7448
NV,1998,6733
NH,1998,7040
NJ,1998,11178
NM,1998,6384
NY,1998,10383
NC,1998,6485
ND,1998,6173
OH,1998,7817
OK,1998,5811
OR,1998,7457
PA,1998,8547
RI,1998,8525
SC,1998,6618
SD,1998,6257
TN,1998,5621
TX,1998,6501
UT,1998,5091
VT,1998,8639
VA,1998,7436
WA,1998,7226
WV,1998,7494
WI,1998,8424
WY,1998,8190
AL,1997,5535
AK,1997,9222
AZ,1997,5812
AR,1997,5697
CA,1997,6572
CO,1997,6297
CT,1997,9641
DE,1997,8160
DC,1997,9168
FL,1997,6533
GA,1997,6571
HI,1997,6755
ID,1997,5404
IL,1997,7081
IN,1997,7614
IA,1997,6679
KS,1997,6662
KY,1997,5875
LA,1997,5784
ME,1997,7530
MD,1997,7770
MA,1997,8318
MI,1997,8416
MN,1997,7649
MS,1997,4770
MO,1997,6595
MT,1997,6345
NE,1997,6711
NV,1997,6442
NH,1997,6770
NJ,1997,10550
NM,1997,5887
NY,1997,9708
NC,1997,5816
ND,1997,5755
OH,1997,7286
OK,1997,5478
OR,1997,7175
PA,1997,8174
RI,1997,8245
SC,1997,6151
SD,1997,5576
TN,1997,5393
TX,1997,6213
UT,1997,4774
VT,1997,8130
VA,1997,6982
WA,1997,6957
WV,1997,7355
WI,1997,8006
WY,1997,7229
