year,per_capita_disposable_personal_income,state
2019,39445,NM
2019,58257,NY
2019,42413,NC
2019,52896,ND
2019,44910,OH
2019,44067,OK
2019,45659,OR
2019,51073,PA
2019,50320,RI
2019,40913,SC
2019,50481,SD
2019,45085,TN
2019,48489,TX
2019,43777,UT
2019,49725,VT
2019,51151,VA
2019,56332,WA
2019,38673,WV
2019,46900,WI
2019,55259,WY
2020,42392,AL
2020,59053,AK
2020,45025,AZ
2020,43083,AR
2020,60796,CA
2020,56415,CO
2020,67110,CT
2020,49804,DE
2020,73568,DC
2020,50194,FL
2020,46568,GA
2020,52872,HI
2020,44138,ID
2020,55409,IL
2020,46872,IN
2020,48210,IA
2020,50579,KS
2020,42720,KY
2020,46771,LA
2020,48939,ME
2020,57829,MD
2020,66978,MA
2020,47982,MI
2020,54403,MN
2020,39083,MS
2020,46598,MO
2020,48127,MT
2020,52064,NE
2020,48767,NV
2020,60715,NH
2020,64031,NJ
2020,42803,NM
2020,62773,NY
2020,45060,NC
2020,56569,ND
2020,48390,OH
2020,45727,OK
2020,49576,OR
2020,55271,PA
2020,54610,RI
2020,43471,SC
2020,54984,SD
2020,47192,TN
2020,50523,TX
2020,46931,UT
2020,53632,VT
2020,54283,VA
2020,60468,WA
2020,41251,WV
2020,49577,WI
2020,56418,WY
