year,state,pce_clothing_footwear_and_related_services,pce_communication,pce_education,pce_financial_services_and_insurance,pce_food_and_beverages_purchased_for_off-premises_consumption,pce_food_services_and_accommodations,pce_furnishings_household_equipment_and_routine_household_maintenance,pce_health,pce_housing_utilities_and_fuels,pce_other_goods_and_services,pce_total,pce_recreation,pce_transportation
1999,GA,8700300000.0,3374600000.0,2844100000.0,13186000000.0,14883400000.0,11621500000.0,9842400000.0,27610900000.0,31689000000.0,11287400000.0,174370500000.0,15763200000.0,23344700000.0
1999,HI,1483900000.0,517100000.0,509500000.0,2078900000.0,2750400000.0,1957900000.0,1175400000.0,4702300000.0,5664600000.0,2072900000.0,28598400000.0,2290900000.0,2496000000.0
1999,IA,2461900000.0,1165200000.0,1302100000.0,3406100000.0,5009400000.0,3333200000.0,2825500000.0,10625200000.0,10310300000.0,4041400000.0,60068900000.0,5860200000.0,7703500000.0
1999,ID,865700000.0,392400000.0,433600000.0,1896700000.0,2455400000.0,1434400000.0,1259500000.0,3617200000.0,4825100000.0,1372400000.0,24136700000.0,2242700000.0,2949000000.0
1999,IL,13837400000.0,6218600000.0,7467400000.0,23970600000.0,20304700000.0,16872800000.0,13741800000.0,45186000000.0,49076300000.0,20924200000.0,289255900000.0,26415800000.0,35645100000.0
1999,IN,5571100000.0,2076100000.0,2386300000.0,7642300000.0,11405200000.0,8094300000.0,6963800000.0,21522700000.0,21807500000.0,8013000000.0,125462200000.0,11371500000.0,15591900000.0
1999,KS,2294400000.0,2126000000.0,1302200000.0,4020900000.0,5097000000.0,3151000000.0,2770100000.0,9599500000.0,9352600000.0,3573500000.0,57433400000.0,6027200000.0,6819800000.0
1999,KY,3331100000.0,1131200000.0,1553200000.0,4994400000.0,7508300000.0,4792900000.0,4012900000.0,14779500000.0,12772400000.0,5441900000.0,78228800000.0,6258900000.0,9854900000.0
1999,LA,3893700000.0,1392000000.0,1262900000.0,5704600000.0,8167800000.0,5463400000.0,4369200000.0,15828400000.0,13931600000.0,5847600000.0,83199500000.0,5801400000.0,10304300000.0
1999,MA,8605800000.0,3421400000.0,3934400000.0,17177500000.0,13513200000.0,10778200000.0,7803200000.0,30908900000.0,29135900000.0,11692600000.0,174741300000.0,17529900000.0,17198300000.0
1999,MD,6187700000.0,2861600000.0,2867600000.0,9756800000.0,9974700000.0,7376500000.0,6340400000.0,20849200000.0,24866200000.0,9311700000.0,128678100000.0,12550600000.0,13491500000.0
1999,ME,1237100000.0,386600000.0,657300000.0,1908100000.0,2655900000.0,1693300000.0,1309400000.0,4957500000.0,5297800000.0,2169800000.0,29050600000.0,2578900000.0,3191100000.0
1999,MI,10006000000.0,3653000000.0,4857300000.0,15840500000.0,19140300000.0,11891400000.0,11601500000.0,35422600000.0,38128300000.0,15455200000.0,216244200000.0,18991000000.0,24587800000.0
1999,MN,4992400000.0,2383500000.0,3087500000.0,9257100000.0,9669400000.0,6654000000.0,5694800000.0,21560400000.0,21186200000.0,7659900000.0,122946800000.0,12033900000.0,14567300000.0
1999,MO,4843500000.0,3083200000.0,2482600000.0,9197300000.0,9840300000.0,7421300000.0,5782500000.0,20495900000.0,19888500000.0,7890700000.0,123770100000.0,13840800000.0,15898600000.0
1999,MS,2291200000.0,826200000.0,804700000.0,2530500000.0,4759000000.0,2768500000.0,2479600000.0,9167600000.0,8559799999.999999,2897000000.0,47346000000.0,3478500000.0,6139300000.0
1999,MT,631700000.0,323600000.0,345000000.0,1186400000.0,1776700000.0,1184500000.0,855700000.0,3028700000.0,3058300000.0,1248700000.0,18215300000.0,1685700000.0,2329500000.0
1999,NC,8049200000.0,3506900000.0,2549400000.0,13089100000.0,15269800000.0,10240000000.0,10304300000.0,28095700000.0,30047900000.0,11791500000.0,168624200000.0,15018500000.0,20664300000.0
1999,ND,588900000.0,227000000.0,287000000.0,1073000000.0,1153100000.0,789400000.0,707000000.0,2528200000.0,2105699999.9999998,841800000.0,13190000000.0,1043200000.0,1350300000.0
1999,NE,1482500000.0,721200000.0,844300000.0,3374800000.0,3044300000.0,2168000000.0,1716100000.0,6079700000.0,5785400000.0,2206700000.0,36273800000.0,3107400000.0,4716700000.0
1999,NH,1666300000.0,484800000.0,804700000.0,3218700000.0,2824400000.0,1805300000.0,1516200000.0,4849200000.0,5656400000.0,1899600000.0,31960800000.0,2726900000.0,3745000000.0
