year,state,Per capita personal income,Population
1942,MI,1058,5552000
1942,MN,799,2662000
1942,MO,819,3829000
1942,MS,457,2204000
1942,MT,901,521000
1942,NC,588,3590000
1942,ND,658,583000
1942,NE,823,1245000
1942,NH,871,482000
1942,NJ,1185,4314000
1942,NM,656,508000
1942,NV,1592,139000
1942,NY,1191,13010000
1942,OH,1032,6970000
1942,OK,639,2228000
1942,OR,1132,1128000
1942,PA,965,9714000
1942,RI,1189,778000
1942,SC,580,2017000
1942,SD,755,597000
1942,TN,570,2953000
1942,TX,742,6770000
1942,UT,907,582000
1942,VA,847,3311000
1942,VT,783,345000
1942,WA,1233,1904000
1942,WI,872,3066000
1942,WV,617,1832000
1942,WY,974,249000
1943,AL,676,2887000
1943,AR,572,1839000
1943,AZ,1045,661000
1943,CA,1589,8623000
1943,CO,1067,1151000
1943,CT,1621,1797000
1943,DC,1630,888000
1943,DE,1491,281000
1943,FL,1057,2497000
1943,GA,749,3245000
1943,IA,1024,2332000
1943,ID,1040,499000
1943,IL,1278,7765000
1943,IN,1150,3444000
1943,KS,1062,1802000
1943,KY,717,2690000
1943,LA,811,2560000
1943,MA,1296,4277000
1943,MD,1325,2097000
1943,ME,1126,806000
1943,MI,1372,5396000
1943,MN,955,2572000
1943,MO,980,3694000
1943,MS,553,2255000
1943,MT,1155,483000
1943,NC,713,3641000
1943,ND,959,546000
1943,NE,1029,1235000
1943,NH,1002,461000
1943,NJ,1454,4206000
1943,NM,803,533000
1943,NV,1550,152000
1943,NY,1416,12871000
1943,OH,1273,6866000
1943,OK,802,2203000
1943,OR,1403,1228000
1943,PA,1169,9424000
1943,RI,1246,868000
1943,SC,675,1974000
1943,SD,853,587000
1943,TN,745,2939000
1943,TX,970,6944000
1943,UT,1164,627000
1943,VA,887,3510000
1943,VT,947,325000
1943,WA,1507,2022000
1943,WI,1065,3007000
1943,WV,748,1741000
1943,WY,1171,246000
1944,AL,753,2799000
1944,AR,698,1771000
1944,AZ,1076,618000
1944,CA,1616,9261000
1944,CO,1087,1124000
1944,CT,1622,1801000
1944,DC,1670,862000
1944,DE,1529,286000
1944,FL,1154,2542000
1944,GA,852,3161000
1944,IA,1004,2294000
1944,ID,1110,514000
1944,IL,1405,7718000
1944,IN,1209,3435000
1944,KS,1182,1763000
1944,KY,778,2616000
1944,LA,896,2479000
1944,MA,1330,4361000
1944,MD,1359,2156000
1944,ME,1123,805000
1944,MI,1403,5459000
1944,MN,1012,2523000
1944,MO,1083,3556000
1944,MS,642,2119000
1944,MT,1185,471000
1944,NC,778,3632000
1944,ND,1020,534000
1944,NE,1101,1214000
1944,NH,1082,460000
1944,NJ,1576,4171000
1944,NM,908,526000
1944,NV,1526,155000
1944,NY,1569,12683000
1944,OH,1330,6928000
1944,OK,965,2056000
1944,OR,1402,1249000
1944,PA,1272,9247000
1944,RI,1312,846000
1944,SC,753,1950000
1944,SD,976,562000
1944,TN,879,2877000
1944,TX,1068,6861000
1944,UT,1078,616000
1944,VA,938,3642000
1944,VT,963,315000
1944,WA,1557,2138000
1944,WI,1116,2971000
1944,WV,829,1708000
1944,WY,1243,240000
1945,AL,799,2770000
1945,AR,753,1758000
1945,AZ,1150,591000
1945,CA,1620,9619000
1945,CO,1213,1113000
1945,CT,1592,1782000
1945,DC,1754,865000
1945,DE,1552,286000
1945,FL,1215,2515000
1945,GA,899,3089000
1945,IA,1096,2301000
1945,ID,1144,490000
1945,IL,1488,7612000
1945,IN,1265,3423000
1945,KS,1179,1719000
1945,KY,815,2604000
1945,LA,908,2413000
1945,MA,1382,4310000
1945,MD,1349,2146000
