state,year,household_renter_occ,total_households,household_renter_occ_ratio,household_owner_occ_ratio
IA,2013,787674.0,2990316.0,0.2634082819340832,0.7365917180659167
IA,2014,787178.0,3007199.0,0.2617645190757246,0.7382354809242754
IA,2015,799791.0,3022924.0,0.2645752920020483,0.7354247079979517
IA,2016,808390.0,3034177.0,0.2664280956582295,0.7335719043417704
IA,2017,770609.0,3045708.0,0.2530147341767497,0.7469852658232503
IA,2018,784326.0,3057213.0,0.2565493473958144,0.7434506526041855
IA,2019,806914.0,3058461.0,0.2638300766300436,0.7361699233699563
KS,2005,714407.0,2662616.0,0.2683101881758391,0.7316898118241608
KS,2006,730163.0,2681913.0,0.272254543678337,0.727745456321663
KS,2007,703919.0,2693875.0,0.2613035125980233,0.7386964874019767
KS,2008,737411.0,2719982.0,0.2711087793963342,0.7288912206036657
KS,2009,807011.0,2736615.0,0.2948938743666902,0.7051061256333098
KS,2010,805836.0,2780095.0,0.2898591594891541,0.7101408405108458
KS,2011,819476.0,2792143.0,0.293493563904141,0.7065064360958591
KS,2012,867781.0,2806773.0,0.3091739160951028,0.6908260839048972
KS,2013,880967.0,2814853.0,0.3129708727240818,0.6870291272759181
KS,2014,875360.0,2824897.0,0.30987324493601,0.69012675506399
KS,2015,875055.0,2832627.0,0.3089199531036031,0.6910800468963969
KS,2016,898647.0,2828247.0,0.3177399286554533,0.6822600713445466
KS,2017,876661.0,2832963.0,0.3094502116688428,0.6905497883311571
KS,2018,856961.0,2831878.0,0.3026122594264301,0.6973877405735699
KS,2019,845434.0,2832768.0,0.2984480197460575,0.7015519802539425
KY,2005,1089730.0,4058633.0,0.2684968066834325,0.7315031933165674
KY,2006,1089452.0,4091297.0,0.2662852391307695,0.7337147608692305
KY,2007,1129910.0,4126455.0,0.273820991625984,0.7261790083740159
KY,2008,1181699.0,4154217.0,0.2844576968415468,0.7155423031584531
KY,2009,1249352.0,4190604.0,0.2981317251642006,0.7018682748357994
KY,2010,1265009.0,4220396.0,0.2997370388939805,0.7002629611060194
KY,2011,1248000.0,4243477.0,0.294098448041547,0.7059015519584529
KY,2012,1330764.0,4254548.0,0.3127862231193536,0.6872137768806463
KY,2013,1320113.0,4269156.0,0.3092210732051019,0.690778926794898
KY,2014,1380585.0,4283110.0,0.3223323706372238,0.6776676293627761
KY,2015,1399702.0,4296254.0,0.3257959143011563,0.6742040856988437
KY,2016,1358561.0,4305726.0,0.3155242576977727,0.6844757423022273
KY,2017,1354608.0,4322206.0,0.3134066261534041,0.6865933738465959
KY,2018,1347687.0,4336705.0,0.3107628948706449,0.6892371051293551
KY,2019,1336752.0,4335006.0,0.3083622029588886,0.6916377970411114
LA,2005,1296935.0,4389747.0,0.2954464118319347,0.7045535881680653
LA,2006,1234110.0,4165301.0,0.2962835098831993,0.7037164901168007
LA,2007,1244375.0,4169986.0,0.2984122728469592,0.7015877271530409
LA,2008,1278921.0,4287760.0,0.2982725245815997,0.7017274754184003
LA,2009,1318871.0,4367617.0,0.301965808815196,0.698034191184804
LA,2010,1380960.0,4416801.0,0.3126606790751949,0.6873393209248051
LA,2011,1420512.0,4447404.0,0.3194025098686784,0.6805974901313215
LA,2012,1477312.0,4474264.0,0.3301798910390625,0.6698201089609375
LA,2013,1467217.0,4497113.0,0.3262575345560585,0.6737424654439415
LA,2014,1554205.0,4521116.0,0.3437657870313436,0.6562342129686565
LA,2015,1550330.0,4542340.0,0.3413064631885768,0.6586935368114232
LA,2016,1536054.0,4553054.0,0.3373678414532312,0.6626321585467688
LA,2017,1516668.0,4554744.0,0.3329864422676664,0.6670135577323335
LA,2018,1489001.0,4530479.0,0.3286630398242658,0.6713369601757342
LA,2019,1429873.0,4519937.0,0.3163479933459249,0.683652006654075
ME,2005,318017.0,1283673.0,0.2477398839112453,0.7522601160887548
ME,2006,304136.0,1284090.0,0.2368494420173041,0.7631505579826959
ME,2007,287660.0,1279253.0,0.2248656051617623,0.7751343948382377
ME,2008,306962.0,1278584.0,0.2400796506134911,0.7599203493865088
ME,2009,304911.0,1279933.0,0.2382241882973562,0.7617758117026439
ME,2010,311518.0,1292022.0,0.2411088975265127,0.7588911024734872
ME,2011,329456.0,1292643.0,0.2548700607979156,0.7451299392020845
ME,2012,331685.0,1293661.0,0.2563925170504483,0.7436074829495517
ME,2013,346402.0,1292700.0,0.2679678192929527,0.7320321807070473
ME,2014,329581.0,1294459.0,0.2546090683443817,0.7453909316556183
ME,2015,327614.0,1293531.0,0.2532710851150842,0.7467289148849158
ME,2016,321366.0,1295587.0,0.2480466383191557,0.7519533616808443
ME,2017,305937.0,1299627.0,0.2354036965991011,0.7645963034008989
ME,2018,319842.0,1302568.0,0.2455472574176549,0.7544527425823451
ME,2019,322035.0,1307006.0,0.2463913708123757,0.7536086291876243
MD,2005,1508201.0,5461318.0,0.27616062642754,0.72383937357246
MD,2006,1495757.0,5474226.0,0.2732362529424251,0.726763747057575
MD,2007,1473350.0,5475589.0,0.2690760756514048,0.7309239243485952
MD,2008,1518638.0,5490748.0,0.2765812599667659,0.7234187400332341
MD,2009,1583649.0,5555571.0,0.2850560275442434,0.7149439724557566
MD,2010,1729486.0,5647607.0,0.3062334188621836,0.6937665811378164
MD,2011,1726593.0,5689902.0,0.3034486358464522,0.6965513641535478
MD,2012,1800473.0,5743098.0,0.3135020506353888,0.6864979493646113
MD,2013,1810435.0,5787855.0,0.3127989557443992,0.6872010442556007
MD,2014,1878494.0,5836593.0,0.3218476943655314,0.6781523056344686
MD,2015,1897703.0,5866145.0,0.3235008681169661,0.6764991318830339
MD,2016,1893588.0,5875912.0,0.3222628249027555,0.6777371750972445
MD,2017,1846709.0,5911516.0,0.312391779029271,0.687608220970729
MD,2018,1780208.0,5902271.0,0.3016140736336912,0.6983859263663088
MD,2019,1820578.0,5905181.0,0.3083018115786798,0.6916981884213202
MA,2005,1887639.0,6182860.0,0.3053019152948635,0.6946980847051365
MA,2006,1856244.0,6221310.0,0.2983686715498825,0.7016313284501174
MA,2007,1860088.0,6233881.0,0.2983836232998352,0.7016163767001649
MA,2008,1914291.0,6254371.0,0.3060725051328103,0.6939274948671896
MA,2009,1975196.0,6346038.0,0.3112486877639245,0.6887513122360756
MA,2010,2099117.0,6318372.0,0.3322243451319422,0.6677756548680578
MA,2011,2115093.0,6349092.0,0.3331331472279816,0.6668668527720184
MA,2012,2148868.0,6398214.0,0.3358543493543667,0.6641456506456334
MA,2013,2223576.0,6446064.0,0.3449509654263439,0.6550490345736562
MA,2014,2237939.0,6497607.0,0.3444251091209425,0.6555748908790575
MA,2015,2247722.0,6542339.0,0.3435655046306833,0.6564344953693166
MA,2016,2220517.0,6559193.0,0.3385350911308754,0.6614649088691247
MA,2017,2231554.0,6609225.0,0.3376423105583483,0.6623576894416516
